epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count	train_hard_example_count	val_hard_example_count	train_hard_positive_recall	train_hard_negative_rejection_rate	val_hard_positive_recall	val_hard_negative_rejection_rate	val_hard_subset_f1	blended_score
1	0.5979203111400792	0.6470193505287171	0.01	0.9696066635816751	0.7476908866995073	0.9993827160493827	0.8554068333920395	0.9782618222254029	0.70012968996739	0.9732262382864793	0.7777777777777778	1.0	0.875	0.9894515955077255	0.8379866289667308	blended_score	0.781896540289817	6496	270	1848	70	0.9979166666666667	0.28153153153153154	1.0	0.45161290322580644	0.8210526315789474	0.781896540289817
2	0.39221275933817323	0.3087185680866241	0.41000000000000003	0.9703470615455807	0.768900627269726	0.9584362139917696	0.853269829639128	0.9782495158864979	0.6336345789629991	0.9901829540383758	0.9311926605504587	0.9666666666666667	0.9485981308411215	0.9985299289582894	0.9809770905910543	blended_score	0.8842023583641789	6496	270	1848	70	0.9541666666666667	0.3783783783783784	0.8974358974358975	0.6774193548387096	0.8333333333333334	0.8842023583641789
3	0.2330841809219005	0.2660654544830322	0.37	0.9579268857010643	0.7473704341174221	0.8041152263374486	0.7747051243929032	0.980070680362046	0.664790479288989	0.9915216421240518	0.9441860465116279	0.9666666666666667	0.9552941176470588	0.9990457433588896	0.9904883167646747	blended_score	0.913151519838086	6496	270	1848	70	0.8010416666666667	0.4166666666666667	0.8974358974358975	0.7741935483870968	0.8641975308641975	0.913151519838086
4	0.17095293473525375	0.20023681744933128	0.19	0.9602406293382694	0.7524199553239017	0.8316872427983539	0.7900703674745895	0.9821306016232397	0.7178042567308507	0.9955377063810799	0.9587155963302753	0.9952380952380953	0.9766355140186916	0.9993481981665143	0.9931139353143037	blended_score	0.9417596144727018	6496	270	1848	70	0.8177083333333334	0.40878378378378377	0.9743589743589743	0.8064516129032258	0.9156626506024096	0.9417596144727018
5	0.1331266573831147	0.2524140223860741	0.18000000000000002	0.9585192040721888	0.7496663489037179	0.8090534979423868	0.7782285997031173	0.9811478397049658	0.6904568316348653	0.9950914770191879	0.954337899543379	0.9952380952380953	0.9743589743589743	0.9992051769008934	0.9915038110934775	blended_score	0.9409545523622889	6496	270	1848	70	0.8041666666666667	0.42905405405405406	0.9743589743589743	0.8064516129032258	0.9156626506024096	0.9409545523622889
6	0.09655181574178677	0.29089126400649545	0.13	0.9589079130032392	0.7491506228765572	0.8166666666666667	0.7814530419373893	0.9823158014563372	0.7214617034200599	0.9955377063810799	0.9629629629629629	0.9904761904761905	0.9765258215962441	0.9992333122318352	0.9917642704666289	blended_score	0.9427390417676403	6496	270	1848	70	0.7989583333333333	0.42454954954954954	0.9487179487179487	0.8387096774193549	0.9135802469135802	0.9427390417676403
7	0.06912276191709965	0.3168760063126683	0.13	0.9580009254974549	0.7533737531781732	0.7925925925925926	0.7724857114208362	0.9829144197815451	0.73230317268678	0.9950914770191879	0.954337899543379	0.9952380952380953	0.9743589743589743	0.9992051769008934	0.9912072768948805	blended_score	0.9408062852629904	6496	270	1848	70	0.7927083333333333	0.4380630630630631	0.9743589743589743	0.8064516129032258	0.9156626506024096	0.9408062852629904
8	0.05231745525573691	0.2465004190802574	0.13	0.9573160573808422	0.7511801730920535	0.7858024691358024	0.7681013676588898	0.9828347644343667	0.7271041289268074	0.9950914770191879	0.9671361502347418	0.9809523809523809	0.9739952718676123	0.9995005978757826	0.9948714404647045	blended_score	0.9395366300751976	6496	270	1848	70	0.7833333333333333	0.4527027027027027	0.8974358974358975	0.8709677419354839	0.8974358974358975	0.9395366300751976
9	0.0389329707889142	0.2913961628451943	0.14	0.9563350300786673	0.7490539733120892	0.7738683127572017	0.7612589818844246	0.9823685799769735	0.7281146124693747	0.9950914770191879	0.9585253456221198	0.9904761904761905	0.9742388758782201	0.9993435089446907	0.9932205242965988	blended_score	0.9273381364245608	6496	270	1848	70	0.7916666666666666	0.44707207207207206	0.9487179487179487	0.7741935483870968	0.891566265060241	0.9273381364245608
10	0.024070376886383575	0.37809564769268034	0.09999999999999999	0.9570754280425728	0.7525342874180083	0.7790123456790123	0.7655444343342432	0.9829067756638747	0.732763515167352	0.9937527889335118	0.9495412844036697	0.9857142857142858	0.9672897196261683	0.9992145553445406	0.9920223696450555	blended_score	0.9203288026885328	6496	270	1848	70	0.7958333333333333	0.4605855855855856	0.9230769230769231	0.7741935483870968	0.8780487804878049	0.9203288026885328
