epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count	train_hard_example_count	val_hard_example_count	train_hard_positive_recall	train_hard_negative_rejection_rate	val_hard_positive_recall	val_hard_negative_rejection_rate	val_hard_subset_f1	blended_score
1	0.6103985148902032	0.4539840042591095	0.51	0.9609810273021749	0.7517380168313209	0.8454732510288065	0.7958551229905094	0.9780009868507784	0.6355424171647028	0.9848282016956715	0.9074074074074074	0.9333333333333333	0.92018779342723	0.9967808492180723	0.9580731975177857	blended_score	0.8744046715463205	6496	270	1848	70	0.846875	0.4144144144144144	0.8717948717948718	0.7096774193548387	0.8292682926829268	0.8744046715463205
2	0.2909092303438514	0.1383635073900223	0.36000000000000004	0.9602776492364646	0.7611624326404927	0.8137860082304527	0.7865950676213206	0.97954515302674	0.6500469489830292	0.9959839357429718	0.971830985915493	0.9857142857142858	0.9787234042553191	0.9997303697451408	0.9973911306810079	blended_score	0.966437500824375	6496	270	1848	70	0.8	0.44819819819819817	1.0	0.8709677419354839	0.9512195121951219	0.966437500824375
3	0.10351462088817474	0.10535497963428497	0.19	0.9545395650161962	0.7476308199423156	0.7467078189300411	0.7471690343833642	0.9810545869100395	0.6906200769089936	0.9955377063810799	0.9629629629629629	0.9904761904761905	0.9765258215962441	0.9997866404070245	0.9979569828387388	blended_score	0.9667204269032403	6496	270	1848	70	0.7302083333333333	0.45157657657657657	1.0	0.8709677419354839	0.9512195121951219	0.9667204269032403
4	0.05257292457071005	0.0692602589726448	0.13	0.9551503933364184	0.7528532890641212	0.7465020576131687	0.7496642215104866	0.982771338974035	0.7313943770919239	0.9973226238286479	0.9811320754716981	0.9904761904761905	0.985781990521327	0.9998991817307918	0.9990375112219458	blended_score	0.9833897233529084	6496	270	1848	70	0.7458333333333333	0.4752252252252252	1.0	0.9354838709677419	0.975	0.9833897233529084
5	0.030607292830359702	0.059230460599064824	0.54	0.9528366496992133	0.7489233419465977	0.7156378600823046	0.7319023569023569	0.9824280818893629	0.7265260495684716	0.9973226238286479	1.0	0.9714285714285714	0.9855072463768116	0.9999273170617337	0.9993115968368258	blended_score	0.9868352855979001	6496	270	1848	70	0.7072916666666667	0.49324324324324326	0.9487179487179487	1.0	0.9736842105263158	0.9868352855979001
6	0.017847061652562345	0.05029249340295792	0.38	0.9528551596483109	0.7484425349087003	0.7168724279835391	0.7323173935890699	0.9824424054550498	0.7270297914834962	0.998661311914324	1.0	0.9857142857142858	0.9928057553956835	0.9999390401162928	0.9994342255422497	blended_score	0.9997171127711248	6496	270	1848	70	0.7010416666666667	0.49324324324324326	1.0	1.0	1.0	0.9997171127711248
7	0.011728371397646912	0.04619202986359596	0.24000000000000002	0.9527996298010181	0.7502166377816292	0.7125514403292181	0.7308991135500211	0.9822114476364336	0.721653491754851	0.998661311914324	1.0	0.9857142857142858	0.9928057553956835	0.9999624862254108	0.9996457949964809	blended_score	0.9998228974982404	6496	270	1848	70	0.715625	0.481981981981982	1.0	1.0	1.0	0.9998228974982404
8	0.0069829090783719485	0.04557597972452641	0.37	0.9527626099028228	0.75	0.7123456790123457	0.7306880540312368	0.9822741030350892	0.7212963099422433	0.998661311914324	1.0	0.9857142857142858	0.9928057553956835	0.99994841855994	0.9995210382435731	blended_score	0.9997605191217865	6496	270	1848	70	0.7125	0.5	1.0	1.0	1.0	0.9997605191217865
9	0.006190255866385996	0.05483660120517016	0.11	0.9530217491901898	0.7488212601800257	0.7189300411522633	0.7335712786059206	0.9827023661400532	0.7352765965150116	0.99776885319054	0.985781990521327	0.9904761904761905	0.9881235154394299	0.9999437293381164	0.9994651908247687	blended_score	0.9836035631543198	6496	270	1848	70	0.7260416666666667	0.49099099099099097	1.0	0.9354838709677419	0.975	0.9836035631543198
10	0.0035232114200434627	0.050197684392333033	0.37	0.9537436372049977	0.7533805537669027	0.7222222222222222	0.7374724235739049	0.9831358773827444	0.7467712740517454	0.998215082552432	0.9951923076923077	0.9857142857142858	0.9904306220095693	0.9999554523926755	0.9995778649980761	blended_score	0.9917244163700059	6496	270	1848	70	0.7458333333333333	0.5078828828828829	1.0	0.967741935483871	0.9873417721518988	0.9917244163700059
11	0.002653778423372583	0.051925962883979083	0.06999999999999999	0.9524849606663581	0.7448216954943412	0.7176954732510288	0.7310070208529812	0.9829182073131585	0.7444112817428788	0.99776885319054	0.985781990521327	0.9904761904761905	0.9881235154394299	0.9999554523926755	0.9995762889716335	blended_score	0.9836591122277523	6496	270	1848	70	0.7145833333333333	0.47297297297297297	1.0	0.9354838709677419	0.975	0.9836591122277523
